"","Orden incial","El lugar que habitan es:","Contrato firmado","Costo actual","Aumento ultimo año","Porcentaje aumento"
"253",253,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"254",254,"Propio sin títulos",NA,NA,NA,NA
"255",255,"Otro",NA,NA,NA,NA
"256",256,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"257",257,"Propio sin títulos",NA,NA,NA,NA
"258",258,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"259",259,"Propio sin títulos",NA,NA,NA,NA
"260",260,"Propio sin títulos",NA,NA,NA,NA
"261",261,"Propio sin títulos",NA,NA,NA,NA
"262",262,"Propio sin títulos",NA,NA,NA,NA
"263",263,"Propio sin títulos",NA,NA,NA,NA
"264",264,"Propio sin títulos",NA,NA,NA,NA
"265",265,"Propio sin títulos",NA,NA,NA,NA
"266",266,"Propio sin títulos",NA,NA,NA,NA
"267",267,"Propio sin títulos",NA,NA,NA,NA
"268",268,"Propio sin títulos",NA,NA,NA,NA
"269",269,"Otro",NA,NA,NA,NA
"270",270,"Otro",NA,NA,NA,NA
"271",271,"Otro",NA,NA,NA,NA
"272",272,"Otro",NA,NA,NA,NA
"273",273,"Otro",NA,NA,NA,NA
"274",274,"Otro",NA,NA,NA,NA
"275",275,"Otro",NA,NA,NA,NA
"276",276,"Prestado",NA,NA,NA,NA
"277",277,"Otro",NA,NA,NA,NA
"278",278,"Otro",NA,NA,NA,NA
"279",279,"Otro",NA,NA,NA,NA
"280",280,"Propio sin títulos",NA,NA,NA,NA
"281",281,"Otro",NA,NA,NA,NA
"282",282,"Otro",NA,NA,NA,NA
"283",283,"Otro",NA,NA,NA,NA
"284",284,"Otro",NA,NA,NA,NA
"285",285,"Otro",NA,NA,NA,NA
"286",286,"Otro",NA,NA,NA,NA
"287",287,"Otro",NA,NA,NA,NA
"288",288,"Prestado",NA,NA,NA,NA
"289",289,"Otro",NA,NA,NA,NA
"290",290,"Otro",NA,NA,NA,NA
"291",291,"Otro",NA,NA,NA,NA
"292",292,"Otro",NA,NA,NA,NA
"293",293,"Propio sin títulos",NA,NA,NA,NA
"294",294,"Propio sin títulos",NA,NA,NA,NA
"295",295,"Propio sin títulos",NA,NA,NA,NA
"296",296,"Propio sin títulos",NA,NA,NA,NA
"297",297,"Alquilado","No",10000,1500,0.1764705882
"298",298,"Propio sin títulos",NA,NA,NA,NA
"299",299,"Propio sin títulos",NA,NA,NA,NA
"300",300,"Propio sin títulos",NA,NA,NA,NA
"301",301,"Propio sin títulos",NA,NA,NA,NA
"302",302,"Prestado",NA,NA,NA,NA
"303",303,"Propio sin títulos",NA,NA,NA,NA
"304",304,"Propio sin títulos",NA,NA,NA,NA
"305",305,"Propio sin títulos",NA,NA,NA,NA
"306",306,"Propio sin títulos",NA,NA,NA,NA
"307",307,"Propio sin títulos",NA,NA,NA,NA
"308",308,"Propio sin títulos",NA,NA,NA,NA
"309",309,"Propio sin títulos",NA,NA,NA,NA
"310",310,"Propio sin títulos",NA,NA,NA,NA
"311",311,"Propio sin títulos",NA,NA,NA,NA
"312",312,"Propio sin títulos",NA,NA,NA,NA
"313",313,"Propio sin títulos",NA,NA,NA,NA
